time,Communication Services,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Information Technology,Materials,Real Estate,Utilities
2023-01-03 09:30:00+00:00,0.0002888457752106044,0.0007112247648454072,-0.00164408786005521,-0.0011421050468296825,0.0010798005094402922,0.0009199632014718073,-0.003988888097442689,-0.0009340535040794835,-0.0053234501347708685,0.0,0.0
2023-01-03 09:45:00+00:00,0.0009747287375646462,-0.0009203468411107443,-0.0019761544035308276,0.0003118454243506457,0.00045988301072853613,-0.0041880085966915954,0.002694976150898426,-0.0009934045814785188,-0.002472732199715555,0.0022164758034723953,0.0
2023-01-03 10:00:00+00:00,-0.002614080415012968,-0.001421671573685044,0.0005457214487424899,0.0022190740906915768,0.0002252146875789202,-0.0003902861462668592,0.0007146671775208873,0.0004666472474682325,0.000488449508977165,0.0008798904744353742,0.0
2023-01-03 10:15:00+00:00,-0.0010166418780429224,0.0001058737385987248,0.002085523558968489,-0.000808323917606858,0.00022795389947309464,-0.0010994731736304207,-0.000337478920120815,0.0016002743640690766,-0.0008675764315183973,-0.0004350682438708143,-0.003582845772430102
2023-01-03 10:30:00+00:00,0.0011677051494973657,0.005171111253605306,0.0016202633399525187,-0.001320483767453059,-0.0009809628741511414,-0.0039118729317318135,0.00017174438411264354,0.0005525679524199562,0.0002938605742818327,0.000549084989758072,-0.0014620747431825822
2023-01-03 10:45:00+00:00,0.00024885550564337296,-0.0017156475849506641,0.0001351933760577039,7.650121504255676e-05,-0.000565948574575852,-0.00020463499985410555,-0.001703779274445626,0.0008929134377642044,0.00034987122681031513,-0.00016871800719030181,0.00032498598872208047
2023-01-03 11:00:00+00:00,-0.0024693183697594564,-0.002007757611162106,0.0007670908351691085,0.0006453397016881915,-0.0009322746520953429,-0.0012144818801504125,0.00024011186673544098,-0.00510809081612543,-0.0002813707508601664,0.00040050063963734643,-0.0015584185288817927
2023-01-03 11:15:00+00:00,0.0013418498011796866,-0.0004386834536251773,0.00036862043944112434,0.0004122397054832018,0.0009908500905957342,-0.0011631978776553047,0.00023278151434213333,0.0003561085656862039,-0.0004214617969474895,-0.000737918925694793,-0.002325386342074893
2023-01-03 11:30:00+00:00,-4.6784453009653815e-05,0.0019414470857322026,0.00023009011727018622,-0.008720877585453706,-0.0009352682160075586,-0.0010868381868573828,-0.00071240041951525,0.00348359731439486,-0.006697533308193522,-0.0002082506245467852,-0.000626111462979804
2023-01-03 11:45:00+00:00,0.00030948408038046087,0.006977074025213477,-0.0021110833478621555,0.0016469920485704297,0.00015338167371505823,0.0024039235005875546,1.9010864435163434e-05,0.0005737933124743232,-0.0015714388149827506,5.023966884282617e-05,0.00040455965605203765
2023-01-03 12:00:00+00:00,-0.001205425568875522,0.00320781966992598,0.0006416588075984904,-0.0008734839471198503,0.005697409759416193,0.00236240118520414,-0.0004732869569045062,0.0012364992749197142,0.0006586147905227056,0.0015283794097464467,-0.0004682774367528846
2023-01-03 12:15:00+00:00,-0.0005298611505039384,0.0020483125209291514,-0.0003664128855401302,-0.00035718365807937844,0.001078137904456689,0.004328418648383197,0.00021655314361877627,-0.0010128230769029386,0.0014688569276810138,0.0005560042996919101,-0.000506456112163912
2023-01-03 12:30:00+00:00,0.0026048716877255327,-0.0005294027454115972,0.002056699221637793,0.0004847820827110506,0.0003103913686255018,0.0014567775461535885,-0.0001171238324798413,-0.0007165363889716413,-0.0010300997875547777,0.0015226402362759697,-0.0022358432853517383
2023-01-03 12:45:00+00:00,-0.0012769224051502742,-0.0020940488868990176,-0.0009434442517713278,0.0009068200055448953,-0.00018413876704511398,0.0007686543574968378,0.0014042383339154506,-0.002389042151984763,0.002863938301208294,0.0009340943215479396,-0.0006152226506647687
2023-01-03 13:00:00+00:00,0.0020499203139396406,0.0007594152639880103,0.0008133284768819495,0.0020309528203372794,-0.0004003625520819374,0.0010206779706619852,0.00024263844261361217,-0.007860217138847585,-0.002960362042706588,0.00035550816098128693,-0.0006868796793228604
2023-01-03 13:15:00+00:00,-0.0008677963216016557,0.0022381428774499814,-0.002073488253222641,-0.0009739851737725004,0.0006511349409280102,0.0006351551881132049,-0.0006172602825912392,0.00279130367567589,-0.0011599476017416818,0.0008495857606800188,-0.00024437182534632466
2023-01-03 13:30:00+00:00,0.001391422582889897,-0.003384112576583579,-0.0004840398595266708,0.0008366076813412318,7.940469971698412e-05,0.0001289172143355556,0.0006904540330550575,-0.0002568684414663564,5.749787969976515e-06,0.0016723364870902626,0.000366844394253099
2023-01-03 13:45:00+00:00,-0.0006468892024672072,0.000701627435912854,-0.0003177396485433447,-5.74664261573942e-05,0.0012014964811460742,0.0033715610578674733,-0.0002754795702626725,0.002056693578036273,0.0001805536016683484,-0.0019907468298975823,-0.0005438313383619374
2023-01-03 14:00:00+00:00,1.4539621900239462e-05,-0.0008937683215340658,-0.0001991366267874167,-0.0008986769815803431,-0.002784861157026852,-0.0002607097871527961,-7.987450896107165e-05,0.0003369495153032862,0.001313806311260812,0.0002956905250965821,0.0007568804962508715
2023-01-03 14:15:00+00:00,0.0010650438385257878,-0.0007937917848748023,-9.372345107133938e-05,0.0008595507973316699,-0.0005764271312649951,0.0001899773086924545,0.00018563969811167386,-4.66543283632089e-06,0.002499087549494578,0.00020789836032375847,0.00044946670688417444
2023-01-03 14:30:00+00:00,0.001246640795085109,-0.00024976203306068255,0.0007211679328390807,0.00047549853392313366,0.0002773875158790997,7.47187245270139e-05,0.00018341026679507858,0.00826042258100719,0.0014274162858351743,-0.0011930307853516612,0.0005510593272894904
